id,name,id_number_masked,position,nationality,birth_date,notes,created_at
1,Fitri Bambang Kusumo,5100********2000,COO,Indonesia,1980-05-07,,2026-01-15 14:24:55.147724+00
2,Dwi Hendro Surya,5101********2001,CEO,Indonesia,1965-10-22,,2026-01-15 14:24:55.147724+00
3,Maya Siti Cahya,5102********2002,CFO,Indonesia,1986-04-19,,2026-01-15 14:24:55.147724+00
4,Joko Nugroho,5103********2003,Sekretaris Perusahaan,Indonesia,1951-10-20,,2026-01-15 14:24:55.147724+00
5,Wulan Permana,5104********2004,Direktur Utama,Indonesia,1983-02-07,,2026-01-15 14:24:55.147724+00
6,Sri Rina Surya,5105********2005,CEO,Indonesia,1973-02-24,,2026-01-15 14:24:55.147724+00
7,Hadi Gunawan,5106********2006,Komisaris Independen,Indonesia,1973-09-14,,2026-01-15 14:24:55.147724+00
8,Adi Putra,5107********2007,Direktur Utama,Indonesia,1956-12-28,,2026-01-15 14:24:55.147724+00
9,Dewi Joko Hidayat,5108********2008,CFO,Indonesia,1964-04-01,,2026-01-15 14:24:55.147724+00
10,Joko Permana,5109********2009,Sekretaris Perusahaan,Indonesia,1977-04-03,,2026-01-15 14:24:55.147724+00
11,Sigit Hadi Prabowo,5110********2010,CFO,Indonesia,1951-11-16,,2026-01-15 14:24:55.147724+00
12,Taufik Siti Aditya,5111********2011,Sekretaris Perusahaan,Indonesia,1951-07-02,,2026-01-15 14:24:55.147724+00
13,Hadi Firmansyah,5112********2012,Direktur Utama,Indonesia,1982-09-27,,2026-01-15 14:24:55.147724+00
14,Siti Irwan Permana,5113********2013,Direktur Operasional,Indonesia,1965-06-15,,2026-01-15 14:24:55.147724+00
15,Dewi Dewi Pratama,5114********2014,Direktur Keuangan,Indonesia,1983-01-21,,2026-01-15 14:24:55.147724+00
16,Taufik Utomo,5115********2015,Direktur,Indonesia,1967-06-14,,2026-01-15 14:24:55.147724+00
17,Taufik Wishnu Mahendra,5116********2016,Direktur,Indonesia,1962-11-11,,2026-01-15 14:24:55.147724+00
18,Wati Dian Suryanto,5117********2017,Komisaris,Indonesia,1967-09-25,,2026-01-15 14:24:55.147724+00
19,Nurul Maya Permana,5118********2018,Direktur Utama,Indonesia,1955-10-11,,2026-01-15 14:24:55.147724+00
20,Rina Wibowo,5119********2019,Komisaris,Indonesia,1956-06-14,,2026-01-15 14:24:55.147724+00
21,Nurul Feri Ramadhan,5120********2020,Komisaris,Indonesia,1988-04-27,,2026-01-15 14:24:55.147724+00
22,Yulia Prasetyo,5121********2021,CFO,Indonesia,1973-11-20,,2026-01-15 14:24:55.147724+00
23,Nurul Ahmad Raharjo,5122********2022,Direktur Keuangan,Indonesia,1952-03-27,,2026-01-15 14:24:55.147724+00
24,Feri Sigit Aditya,5123********2023,CFO,Indonesia,1955-02-19,,2026-01-15 14:24:55.147724+00
25,Yanti Ramadhan,5124********2024,CEO,Indonesia,1953-10-22,,2026-01-15 14:24:55.147724+00
26,Rina Eko Putra,5125********2025,Komisaris Utama,Indonesia,1954-12-04,,2026-01-15 14:24:55.147724+00
27,Hadi Hermawan,5126********2026,Komisaris,Indonesia,1988-01-04,,2026-01-15 14:24:55.147724+00
28,Yulia Hendra Kusumo,5127********2027,Direktur Operasional,Indonesia,1969-04-18,,2026-01-15 14:24:55.147724+00
29,Andi Yulia Setiawan,5128********2028,Direktur Keuangan,Indonesia,1979-07-07,,2026-01-15 14:24:55.147724+00
30,Wahyu Kusumo,5129********2029,CEO,Indonesia,1972-04-20,,2026-01-15 14:24:55.147724+00
31,Agus Pratama,5130********2030,Direktur Operasional,Indonesia,1982-07-19,,2026-01-15 14:24:55.147724+00
